latitude,longitude,area_in_meters,confidence,full_plus_code,Country,Province,State,StateDistrict,County,Town,City,Suburb,Type,AddressType,Amenity,OSM_Type,OSM_ID,Building_material,Roof_materials,Surface,Elevation,geometry,height_net,height_gross,vol_2025,vol_2030,pop_2025,pop_2030
-15.98507462,39.33205687,68.2276,0.9148,5GPX287J+XRF5,Moçambique,,Nampula,Mogovolas,,,,,administrative,state_district,,relation,11981795.0,,,,109,POINT (39.33205687 -15.98507462),2.5,0.4003925025463104,4038.0,4038.0,26.80731201171875,28.768720626831055
-15.71644374,37.21335612,62.071,0.917,5GPV76M7+C8H7,Moçambique,,Zambézia,Ile,,,,,unclassified,road,,way,363537312.0,,,,623,POINT (37.21335612 -15.71644374),2.5,0.1904125064611435,1920.0,1920.0,6.426929473876953,6.221752643585205
-13.99782686,33.14571873,361.3478,0.9141,5GRM242W+V78X,,,,,,,,,,,,,,,,,1055,POINT (33.14571873 -13.99782686),2.5,0.2320449948310852,2408.0,2408.0,7.697927951812744,7.859022617340088
-15.0485937,35.19232313,79.8962,0.9006,5GPQX52R+HW87,,,,,,,,,,,,,,,,,495,POINT (35.19232313 -15.0485937),3.799341917037964,0.926446795463562,9244.0,9244.0,14.540787696838379,17.6815128326416
-15.06190522,34.83994878,219.7661,0.9204,5GPPWRQQ+6XPM,,,,,,,,,,,,,,,,,697,POINT (34.83994878 -15.06190522),2.5,0.3269524872303009,3273.0,3273.0,29.17969512939453,30.733715057373047
-13.99537922,33.81086298,158.6967,0.9132,5GRM2R36+R8XW,,,,,,,,,,,,,,,,,1100,POINT (33.81086298 -13.99537922),6.960841178894043,2.7659597396850586,27655.0,27655.0,304.86920166015625,371.5303955078125
-15.39808476,35.31454109,278.7069,0.9307,5GPQJ827+QR7M,,,,,,,,,,,,,,,,,934,POINT (35.31454109 -15.39808476),7.16782283782959,1.8340880870819092,18357.0,18357.0,22.12067222595215,24.281295776367188
-15.83219359,35.08534009,177.2911,0.9062,5GPQ539P+44G9,,,,,,,,,,,,,,,,,1115,POINT (35.08534009 -15.83219359),8.873787879943848,3.1369283199310303,31378.0,31378.0,167.62539672851562,197.3988494873047
-15.72353813,35.02169671,89.6732,0.9014,5GPQ72GC+HMPF,,,,,,,,,,,,,,,,,877,POINT (35.02169671 -15.72353813),6.562097072601318,2.4308502674102783,24280.0,24280.0,37.128639221191406,42.9354248046875
-13.99045855,33.84606414,73.7081,0.9086,5GRM2R5W+RC8J,,,,,,,,,,,,,,,,,1097,POINT (33.84606414 -13.99045855),4.9602952003479,0.7326604127883911,7569.0,7569.0,3.150453805923462,3.8339130878448486
-13.87343983,33.75511951,213.5228,0.9093,5GRM4QG4+J2HH,,,,,,,,,,,,,,,,,1155,POINT (33.75511951 -13.87343983),7.236700057983398,2.5840375423431396,25813.0,25813.0,56.46521759033203,68.81420135498047
-15.09427538,39.27978766,222.8403,0.9189,5GPXW74H+7WMR,Moçambique,,Nampula,Cidade de Nampula,,,Nampula,,residential,road,,way,591600329.0,,,,402,POINT (39.27978766 -15.09427538),6.4698872566223145,2.719099521636963,27225.0,27225.0,145.0727081298828,178.6189422607422
-15.46909319,36.99124113,117.6815,0.9001,5GPRGXJR+9F98,Moçambique,,Zambézia,Gurué,,Gurúè,,,residential,road,,way,596586995.0,,,,704,POINT (36.99124113 -15.46909319),9.88132095336914,3.012765407562256,30148.0,30148.0,173.05108642578125,186.4263458251953
-13.91854047,39.91149994,108.0677,0.9,5GRX3WJ6+HHQ9,Moçambique,,Nampula,Eráti,,Alua,,,residential,road,,way,301584543.0,,,,372,POINT (39.91149994 -13.91854047),6.090753555297852,1.361502766609192,13613.0,13613.0,41.98180389404297,42.05867385864258
-15.69123201,35.01154316,299.1706,0.9064,5GPQ8256+GJ3M,,,,,,,,,,,,,,,,,814,POINT (35.01154316 -15.69123201),4.084205627441406,1.409177541732788,14099.0,14099.0,34.24839401245117,35.66816711425781
-16.03190141,34.91496674,120.6502,0.9079,5GMPXW97+6XPX,,,,,,,,,,,,,,,,,281,POINT (34.91496674 -16.03190141),2.5,0.019747501239180565,195.0,195.0,1.2358266115188599,1.1664576530456543
-15.01749335,38.96051338,140.8877,0.9079,5GPWXXM6+2627,Moçambique,,Nampula,Rapale,,,,,unclassified,road,,way,363387846.0,,,,452,POINT (38.96051338 -15.01749335),2.5,0.3749299943447113,3753.0,3753.0,22.06869125366211,23.14569854736328
-15.96829597,37.10556469,69.2372,0.9172,5GPV24J4+M6P2,Moçambique,,Zambézia,,,Namarroi,,,administrative,town,,relation,11623577.0,,,,424,POINT (37.10556469 -15.96829597),2.5,0.43632999062538147,4363.0,4363.0,16.33542251586914,15.871881484985352
-14.00479935,33.80718447,226.2755,0.9332,5GQMXRW4+3VM5,,,,,,,,,,,,,,,,,1098,POINT (33.80718447 -14.00479935),6.996676445007324,3.288864850997925,32884.0,32884.0,174.17286682128906,212.30828857421875
-16.21609139,39.91869191,165.5662,0.906,5GMXQWM9+HF86,Moçambique,,Nampula,Angoche,,Angoche,,,residential,road,,way,462716781.0,,,,33,POINT (39.91869191 -16.21609139),6.099252223968506,1.3867930173873901,13827.0,13827.0,59.84318542480469,61.34388732910156
-14.95788975,34.89653612,68.0368,0.9028,5GQP2VRW+RJVC,,,,,,,,,,,,,,,,,733,POINT (34.89653612 -14.95788975),2.5,0.17863750457763672,2683.0,2683.0,9.789487838745117,10.253596305847168
-13.88312185,33.77702388,99.8926,0.9046,5GRM4Q8G+QR25,,,,,,,,,,,,,,,,,1118,POINT (33.77702388 -13.88312185),6.342377185821533,2.474745035171509,24767.0,24767.0,132.5860137939453,161.62998962402344
-16.115892,37.05395894,45.5523,0.9016,5GMVV3M3+JHW8,Moçambique,,Zambézia,,,Namarroi,,,unclassified,road,,way,363815744.0,,,,469,POINT (37.05395894 -16.115892),2.5,0.0850600004196167,850.0,850.0,3.1824684143066406,3.092161178588867
-13.99749117,33.75552489,246.974,0.9027,5GRM2Q34+2629,,,,,,,,,,,,,,,,,1074,POINT (33.75552489 -13.99749117),3.8700716495513916,0.8518801927566528,8518.0,8518.0,12.892248153686523,15.656291961669922
-13.88333767,33.7489522,64.5774,0.9064,5GRM4P8X+MH8F,,,,,,,,,,,,,,,,,1127,POINT (33.7489522 -13.88333767),6.053528785705566,0.727325439453125,7264.0,7264.0,44.370628356933594,54.09035110473633
-14.4679559,35.30187907,657.0334,0.909,5GQQG8J2+RQ6J,,,,,,,,,,,,,,,,,511,POINT (35.30187907 -14.4679559),2.5,0.550279974937439,5495.0,5495.0,42.889739990234375,46.224609375
-14.96819865,39.87428112,458.9573,0.936,5GQX2VJF+PPC5,Moçambique,,Nampula,Meconta,,,,,residential,road,,way,590774572.0,,,,239,POINT (39.87428112 -14.96819865),2.5,0.3227199912071228,3335.0,3335.0,12.55171012878418,12.24521255493164
-16.20987829,33.58165082,183.3205,0.9017,5GMMQHRJ+2MRX,Moçambique,,Tete,Cidade de Tete,,,Tete,,residential,road,,way,385964924.0,,,,171,POINT (33.58165082 -16.20987829),2.7120957374572754,0.26189082860946655,2620.0,2620.0,11.037307739257812,13.766980171203613
-15.96802819,37.00362677,31.632,0.9146,5GPV22J3+QFJR,Moçambique,,Zambézia,,,Namarroi,,,unclassified,road,,way,361476534.0,,,,517,POINT (37.00362677 -15.96802819),2.5,0.2923299968242645,4378.0,4378.0,16.391584396362305,15.926448822021484
-13.89714532,33.73377458,86.1585,0.9092,5GRM4P3M+4GR5,,,,,,,,,,,,,,,,,1087,POINT (33.73377458 -13.89714532),3.6294562816619873,0.8438231348991394,9270.0,9270.0,23.96957015991211,29.220285415649414
-14.05466773,33.77632185,102.8816,0.9083,5GQMWQWG+4GP7,,,,,,,,,,,,,,,,,1107,POINT (33.77632185 -14.05466773),2.5,0.16525501012802124,1740.0,1740.0,5.8246893882751465,6.465044021606445
-16.09843313,35.765425,363.1719,0.9299,5GMQWQ28+J5FP,Moçambique,,Zambézia,,,Milange,,,car_parts,shop,,node,4227973990.0,,,,675,POINT (35.765425 -16.09843313),6.844125270843506,0.7337586879730225,7330.0,7330.0,57.94648361206055,59.899845123291016
-13.92464903,33.8150766,322.419,0.9194,5GRM3RG8+42W3,,,,,,,,,,,,,,,,,1081,POINT (33.8150766 -13.92464903),4.65681791305542,0.7132940888404846,7134.0,7134.0,4.958261489868164,5.995973110198975
-15.66528205,35.00945665,232.186,0.9031,5GPQ82M5+VQPP,,,,,,,,,,,,,,,,,771,POINT (35.00945665 -15.66528205),2.5,0.3426874876022339,3430.0,3430.0,8.625019073486328,9.132341384887695
-15.77792834,35.01624782,365.2366,0.9194,5GPQ62C8+RFHX,,,,,,,,,,,,,,,,,1051,POINT (35.01624782 -15.77792834),7.193272113800049,1.3522056341171265,13545.0,13545.0,12.805719375610352,15.082849502563477
-14.02274909,33.78554572,594.769,0.9312,5GQMXQGP+W633,,,,,,,,,,,,,,,,,1103,POINT (33.78554572 -14.02274909),4.526128768920898,0.8587378859519958,8586.0,8586.0,53.426429748535156,65.17306518554688
-15.75162895,35.02511695,418.097,0.9331,5GPQ62XG+82XW,,,,,,,,,,,,,,,,,1008,POINT (35.02511695 -15.75162895),2.5,0.41996249556541443,4203.0,4203.0,1.905164361000061,2.2346251010894775
-14.77042274,36.54640083,68.608,0.9012,5GQR6GHW+RHJ5,Moçambique,,Niassa,Cuamba,,,,Njato,unclassified,road,,way,332952974.0,,,,581,POINT (36.54640083 -14.77042274),3.1259782314300537,0.29915300011634827,3001.0,3001.0,2.1680235862731934,2.3665354251861572
-16.25583937,36.92928313,85.1546,0.9044,5GMRPWVH+MP7C,Moçambique,,Zambézia,Lugela,,,,,administrative,state_district,,relation,11623579.0,,,,391,POINT (36.92928313 -16.25583937),2.5,0.1887800097465515,1885.0,1885.0,1.5656744241714478,1.467676043510437
-13.85655128,33.83367424,97.8825,0.9166,5GRM4RVM+9FFW,,,,,,,,,,,,,,,,,1152,POINT (33.83367424 -13.85655128),2.5,0.07999749481678009,798.0,798.0,3.773589611053467,4.262503147125244
-14.55051359,30.79921727,66.1826,0.9183,5GQGCQXX+QMWH,,,,,,,,,,,,,,,,,708,POINT (30.79921727 -14.55051359),2.5,0.07688750326633453,1155.0,1155.0,4.86057186126709,4.914011478424072
-15.70987542,35.17339043,172.5366,0.9088,5GPQ75RF+29RV,,,,,,,,,,,,,,,,,1088,POINT (35.17339043 -15.70987542),2.5,0.5828624963760376,5833.0,5833.0,21.763198852539062,21.911367416381836
-15.6932286,34.9961508,87.6907,0.9052,5GPP8X4W+PF2X,,,,,,,,,,,,,,,,,791,POINT (34.9961508 -15.6932286),6.544853210449219,3.2644221782684326,32672.0,32672.0,37.880672454833984,40.669708251953125
-16.06139402,35.4229385,90.4265,0.9026,5GMQWCQF+C5W6,,,,,,,,,,,,,,,,,646,POINT (35.4229385 -16.06139402),2.5,0.02797750011086464,283.0,283.0,2.174769163131714,2.276946783065796
-15.84055742,37.04577077,65.4302,0.9019,5GPV525W+Q8CP,Moçambique,,Zambézia,Gurué,,,,,administrative,state_district,,relation,11623570.0,,,,536,POINT (37.04577077 -15.84055742),2.5,0.0038400001358240843,40.0,40.0,0.14617744088172913,0.1505904644727707
-15.0950242,39.21393513,172.7706,0.9263,5GPXW637+XHV5,Moçambique,,Nampula,Cidade de Nampula,,,Nampula,,college,amenity,,way,335396398.0,,,,422,POINT (39.21393513 -15.0950242),2.5692801475524902,0.20396487414836884,2043.0,2043.0,10.88644790649414,13.403800964355469
-15.98084275,38.44135225,91.0715,0.9083,5GPW2C9R+MG97,Moçambique,,Zambézia,Gile,,,,,secondary,road,,way,222294039.0,,,unpaved,312,POINT (38.44135225 -15.98084275),2.5,0.3353025019168854,3473.0,3473.0,14.830126762390137,15.057068824768066
-15.41341289,35.38640828,64.8834,0.9089,5GPQH9PP+JHMC,,,,,,,,,,,,,,,,,779,POINT (35.38640828 -15.41341289),2.5,0.06772500276565552,708.0,708.0,2.9112257957458496,3.087517023086548
